Name1,relation,Name2
Robert Clifton Sarratt,child,Charles Madison Sarratt
Dnyaneshwar Agashe,child,Mandar Agashe
Dnyaneshwar Agashe,child,Ashutosh Agashe
Louis M. Rabinowitz,child,Victor Rabinowitz
Simon Staughton,child,Samuel Thomas Staughton
Nawele,child,Lakona of Oahu
Lakona of Oahu,child,Kapaealakona
Henry Tucker (colonial storekeeper),child,William Tucker (politician)
Ahmed Seif El-Islam,child,Alaa Abd El-Fattah
Ahmed Seif El-Islam,child,Sanaa Seif
Ahmed Seif El-Islam,child,Mona Seif
Kazi Sabyasachi,child,Khilkhil Kazi
Louis Ginsberg,child,Allen Ginsberg
Maureen Cusack,child,Sinéad Cusack
Maureen Cusack,child,Sorcha Cusack
Maureen Cusack,child,Niamh Cusack
Tatyana Karimova,child,Gulnara Karimova
Tatyana Karimova,child,Lola Karimova-Tillyaeva
Pál Harrer,child,Ferenc Harrer
Tatsuo Umemiya,child,Anna Umemiya
Claude Blair,child,John Blair (historian)
Bernhard Brandis,child,Henning Brandis
Arne Vesterlid,child,Are Vesterlid
Prudence Murdoch,child,Murdoch family
David Andersen (goldsmith),child,Arthur David-Andersen
Arthur David-Andersen,child,Ivar David-Andersen
Ivar David-Andersen,child,Arthur David-Andersen
Bob Boerigter,child,Marc Boerigter
John Humphrey England,child,Edward England (Potato Importer)
Vinayak Sitaram Sarwate,child,Shalini Moghe
Sybil Wolfram,child,Stephen Wolfram
Sybil Wolfram,child,Conrad Wolfram
Hugo Wolfram,child,Stephen Wolfram
Hugo Wolfram,child,Conrad Wolfram
Thorvald Boye,child,Thore Boye
Haakon Hasberg Breien,child,Thor Breien
Erling Broch,child,Lisbeth Broch
Charles Louis-Dreyfus,child,Pierre Louis-Dreyfus
Henry H. Straight,child,Willard Dickerman Straight
Muslehuddin Ahmad,child,Junaid Ahmad
Sanghamitra Bharali,child,Saar Kashyap
Helena Modjeska Chase,child,Harry McClure Johnson
Helena Modjeska Chase,child,Priscilla Paetsch
Harry McClure Johnson,child,Priscilla Paetsch
Thinkhaya I of Toungoo,child,Thinkhaya II of Toungoo
Günther Johannes Paetsch,child,Michaela Paetsch
Günther Johannes Paetsch,child,Johann Sebastian Paetsch
Joseph Pallache,child,Isaac Pallache
Joseph Pallache,child,David Pallache
Joseph Pallache,child,Moses Pallache
Lana Greenfield,child,Brock Greenfield
Lars Herseth,child,Stephanie Herseth Sandlin
Thomas Short Bull,child,Vanessa Short Bull
Conrad Mohr,child,Wilhelm Mohr (born 1886)
Conrad Mohr,child,Anton Mohr
Wilhelm Mohr (born 1886),child,Wilhelm Mohr
Priscilla Paetsch,child,Michaela Paetsch
Priscilla Paetsch,child,Johann Sebastian Paetsch
Anna Šišková,child,Dorota Nvotová
Carl Friedrich Wilhelm Duncker,child,Maximilian Wolfgang Duncker
Carl Friedrich Wilhelm Duncker,child,Alexander Duncker
Carl Friedrich Wilhelm Duncker,child,Franz Duncker
